195,Kansas City; KS,US,1,20,913,3911,-9462,KCK,KMKC,USKS0298,103
196,Kansas City; MO,US,1,20,816,3909,-9457,MCI,KMCI,USMO0460,103
197,Karachi,PK,1,185,21,2489,6710,KHI,OPKC,PKXX0008,151
198,Kathmandu,NP,1,193,1,2771,8531,KTM,VNKT,NPXX0002,152
199,Kelowna; BC,CA,1,4,250,4952,-11927,YLW,CYLW,CAXX0216,6414
200,Khartoum,SD,1,1006,11,1558,3252,KRT,HSSS,SUXX0002,123
201,Kiev,UA,1,125,44,5043,3052,IEV,UKKK,UPXX0016,165
202,Kigali,RW,1,140,,-195,3006,KGL,HRYR,RWXX0001,1101
203,Kingston,JM,1,40,876,1796,-7679,KIN,MKJP,JMXX0002,298
204,Kinshasa,CD,1,113,,-431,1532,FIH,FZAA,CGXX0005,125
205,Knoxville; TN,US,1,35,423,3596,-8392,TYS,KTYS,USTN0268,448
206,Kobe,JP,1,235,78,3468,13519,KIX,RJBB,JAXX0040,2351
207,Kochi,JP,1,235,888,3355,13354,KCZ,RJOK,JAXX0052,2227
208,Kolkata (Calcutta),IN,1,190,33,2251,8832,CCU,VECC,INXX0028,145
209,Krasnoyarsk,RU,1,207,3912,5603,9306,KJA,UNAA,RSXX0267,2646
210,Kuala Lumpur,MY,1,215,3,317,10169,KUL,WMKK,MYXX0008,153
211,Kuwait,KW,1,150,,2937,4797,KWI,OKBK,KUXX0003,76
212,Kwangju,KR,1,230,62,3515,12691,KWJ,RKJJ,KSXX0014,2350
213,Kyoto,JP,1,235,75,3498,13577,KIX,RJBB,JAXX0047,2351
214,La Coruña,ES,1,105,981,4336,-840,LCG,LECO,SPXX0189,195
215,La Paz,BO,1,55,2,-1650,-6814,LPB,SLLP,BLXX0006,7137
216,Lansing; MI,US,1,35,517,4272,-8456,LAN,KLAN,USMI0477,6274
217,Laredo; TX,US,1,20,956,2751,-9949,LRD,KLRD,USTX0737,455
218,Las Vegas; NV,US,1,4,702,3617,-11513,LAS,KLAS,USNV0049,108
219,Leipzig,DE,1,110,341,5135,1240,LEJ,EDDP,GMXX0072,188
220,Lexington; KY,US,1,35,606,3804,-8450,LEX,KLEX,USKY1079,451
221,Lhasa,CN,1,210,891,2965,9113,LXA,ZULS,CHXX0080,2360
222,Libreville,GA,1,113,,039,945,LBV,FOOL,GBXX0004,1052
223,Lille,FR,1,105,3,5063,304,LIL,LFQQ,FRXX0052,4561
224,Lilongwe,MW,1,140,,-1398,3377,LLW,FVHA,MIXX0002,1306
225,Lima,PE,1,45,1,-1204,-7705,LIM,SPIM,PEXX0011,113
226,Limerick,IE,1,85,61,5267,-862,LMK,EINN,EIXX0026,215
227,Limoges,FR,1,105,5,4583,126,LIG,LFBL,FRXX0119,4178
228,Lincoln; NE,US,1,20,402,4080,-9666,LNK,KLNK,USNE0283,518
229,Lisbon,PT,1,85,1,3872,-919,LIS,LPPT,POXX0016,4567
230,Little Rock; AR,US,1,20,501,3474,-9228,LIT,KLIT,USAR0336,452
231,Liverpool,UK,1,85,151,5339,-296,LPL,EGGP,UKXX0083,317
232,Ljubljana,SI,1,95,61,4606,1451,LJU,LJLJ,SIXX0002,4574
233,Lome,TG,1,90,,613,123,LFW,DXXX,TOXX0001,1287
234,London,UK,1,85,20,5151,-006,LHR,EGLL,UKXX0085,8
235,Londonderry,UK,1,85,1504,5499,-731,LDY,EGAE,UKXX0086,4586
236,Long Beach; CA,US,1,4,562,3376,-11818,LGB,KLGB,USCA0632,454
237,Los Angeles; CA,US,1,4,213,3405,-11824,LAX,KLAX,USCA0638,100
238,Louisville; KY,US,1,35,502,3825,-8575,LJC,KSDF,USKY1096,456
239,Luanda,AO,1,113,2,-881,1324,LAD,FNLU,AOXX0008,1314
240,Lubbock; TX,US,1,20,806,3357,-10185,LBB,KLBB,USTX0808,6322
241,Lusaka,ZM,1,140,1,-1542,2829,LUN,FLLS,ZAXX0004,1320
242,Luxembourg,LU,1,105,,4960,613,LUX,ELLX,LUXX0003,38
243,Lyon,FR,1,105,4,4576,483,LYS,LFLL,FRXX0055,180
244,Madison; WI,US,1,20,608,4307,-8940,MSN,KMSN,USWI0411,6338
245,Madrid,ES,1,105,91,4040,-368,MAD,LEMD,SPXX0050,43
246,Malabo,GQ,1,113,9,375,878,SSG,FGSL,EKXX0003,1332
247,Malaga,ES,1,105,95,3672,-442,AGP,LEMG,SPXX0052,198
248,Male,MV,1,190,,417,7350,MLE,VRMM,MVXX0001,2380
249,Managua,NI,1,33,2,1215,-8627,MGA,MNMG,NUXX0004,6518
250,Manama,BH,1,150,,2622,5058,BAH,OBBI,BAXX0001,248
251,Manaus,BR,1,-2147483576,92,-313,-6001,MAO,SBEG,BRXX0146,7161
252,Manchester,UK,1,85,161,5347,-223,MAN,EGCC,UKXX0092,9
253,Manila,PH,1,215,2,1460,12098,MNL,RPLL,RPXX0017,2474
254,Maputo,MZ,1,140,1,-2596,3257,MPM,FQMA,MZXX0003,1346
255,Maracaibo,VE,1,-2147483573,61,1065,-7164,MAR,SVMC,VEXX0018,7062
256,Marseille,FR,1,105,4,4329,536,MRS,LFML,FRXX0059,41
257,Maseru,LS,1,140,,-2931,2749,MSU,FXMM,LTXX0001,1355
258,Masqat,OM,1,165,,2360,5854,MCT,OOMS,MUXX0003,2426
259,Mbabane,SZ,1,140,,-2632,3114,QMN,FDMS,WZXX0001,1344
260,Medellin,CO,1,45,4,625,-7558,MDE,SKRG,COXX0020,7172
261,Melbourne; VIC,AU,1,255,3,-3788,14503,MEL,YMML,ASXX0075,94
262,Memphis; TN,US,1,20,901,3514,-9004,MEM,KMEM,USTN0325,461
263,Metz,FR,1,105,3,4912,618,MZM,LFSF,FRXX0064,4678
264,Mexico City,MX,1,-2147483581,5,1945,-9914,MEX,MMMX,MXDF0132,300
265,Miami; FL,US,1,35,305,2577,-8019,MIA,KMIA,USFL0316,432
266,Milan,IT,1,110,2,4547,918,MXP,LIMC,ITXX0042,63
267,Milwaukee; WI,US,1,20,414,4303,-8790,MKE,KMKE,USWI0455,271
268,Minneapolis; MN,US,1,20,612,4498,-9326,MSP,KMSP,USMN0503,272
269,Minsk,BY,1,1008,172,5390,2760,MSQ,UMMS,BOXX0005,166
270,Mobile; AL,US,1,20,334,3069,-8804,MOB,KMOB,USAL0371,462
271,Mogadishu,SO,1,155,1,204,4534,MGQ,HCMM,SOXX0002,1376
272,Monaco,MC,1,105,,4374,741,MCM,LFMN,MNXX0001,181
273,Monrovia,LR,1,90,,630,-1080,MLW,GFLL,LIXX0002,1392
274,Monterrey,MX,1,-2147483581,83,2568,-10030,MTY,MMMY,MXNL0068,6506
275,Montevideo,UY,1,-2147483575,2,-3490,-5617,MVD,SUMU,UYXX0006,302
276,Montreal; PQ,CA,1,35,514,4530,-7334,YUL,CYUL,CAXX0301,273
277,Morioka,JP,1,235,196,3969,14114,HNA,RJCC,JAXX0103,2413
278,Moscow,RU,1,145,95,5574,3758,SVO,UUEE,RSXX0063,58
279,Mumbai,IN,1,190,22,1907,7282,BOM,VABB,INXX0087,144
280,Munich,DE,1,110,89,4813,1157,MUC,EDDM,GMXX0087,53
281,Murmansk,RU,1,145,8152,6897,3308,MMK,ULMM,RSXX0452,4670
282,Nagano,JP,1,235,262,3665,13819,MMJ,RJAF,JAXX0105,2431
283,Nagasaki,JP,1,235,958,3271,12987,NGS,RJFU,JAXX0055,2433
284,Nagoya,JP,1,235,52,3514,13688,NGO,RJNN,JAXX0057,2192
285,Nairobi,KE,1,155,2,-128,3681,NBO,HKJK,KEXX0009,1438
286,Nanjing,CN,1,210,25,3204,11878,NKG,ZSNJ,CHXX0099,2448
287,Naples,IT,1,110,81,4083,1426,NAP,LIRN,ITXX0052,66
288,Nashville; TN,US,1,20,615,3616,-8678,BNA,KBNA,USTN0357,466
289,Nassau,BS,1,35,242,2505,-7734,NAS,MYNN,BFXX0005,303
290,N'Djamena,TD,1,113,51,1210,1505,NDJ,FTTJ,CDXX0003,1423
291,New Orleans; LA,US,1,20,504,2995,-9007,MSY,KMSY,USLA0338,274
292,New York; NY,US,1,35,212,4074,-7399,JFK,KJFK,USNY0996,509
293,Newark; NJ,US,1,35,201,4073,-7417,EWR,KEWR,USNJ0355,101
294,Niamey,NE,1,113,,1351,212,NIM,DRRN,NGXX0003,1429
295,Nicosia,CY,1,130,2,3518,3336,NIC,LCLK,CYXX0005,230
296,Norwich,UK,1,85,1603,5264,129,NWI,EGSH,UKXX0103,24
297,Nouakchott,MR,1,90,,1810,-1595,NKC,GQNN,MRXX0004,1435
298,Novosibirsk,RU,1,201,3832,5502,8293,OVB,UNBB,RSXX0077,2465
299,Nuku'alofa,TO,1,300,,-2113,-17520,TBU,NFTF,TNXX0001,3068
300,Nuuk,GL,1,73,,6419,-5172,GOH,BGGH,GLXX0003,4454
301,Oakland; CA,US,1,4,510,3777,-12221,OAK,KOAK,USCA0791,105
302,Oklahoma City; OK,US,1,20,405,3546,-9752,OKC,KOKC,USOK0400,473
303,Omaha; NE,US,1,20,402,4125,-9593,OMA,KOMA,USNE0363,474
304,Orlando; FL,US,1,35,407,2853,-8138,ORL,KORL,USFL0372,275
305,Osaka,JP,1,235,6,3467,13547,KIX,RJBB,JAXX0071,2351
306,Oshawa; ON,CA,1,35,905,4354,-7851,YOO,CYYZ,CAXX0342,6405
307,Oslo,NO,1,110,2,5991,1073,FBU,ENFB,NOXX0029,32
308,Ottawa; ON,CA,1,35,613,4525,-7540,YOW,CYOW,CAXX0343,475
309,Ouagadougou,BF,1,90,,1236,-153,OUA,DFFD,UVXX0001,1450
310,Overland Park; KS,US,1,20,913,3902,-9466,MCI,KMCI,USKS0450,103
311,Oviedo,ES,1,105,98,4337,-584,OVD,LEAS,SPXX0190,199
312,Palermo,IT,1,110,91,3812,1336,PMO,LICJ,ITXX0055,67
313,Palma de Mallorca,ES,1,105,971,3957,265,PMI,LEPA,SPXX0061,44
314,Panama City,PA,1,45,,901,-7950,PTY,MPTO,PMXX0004,6038
315,Paramaribo,SR,1,70,,583,-5517,PBM,SMJP,NSXX0002,7202
316,Paris,FR,1,105,1,4886,235,CDG,LFPG,FRXX0076,40
317,Pasadena; CA,US,1,4,818,3414,-11814,BUR,KBUR,USCA0840,100
318,Pasadena; TX,US,1,20,713,2969,-9520,IAH,KIAH,USTX1024,268
319,Peoria; IL,US,1,20,309,4069,-8958,PIA,KPIA,USIL0935,6063
320,Perth; WA,AU,1,225,9,-3193,11576,PER,YPPH,ASXX0089,3033
321,Perugia,IT,1,110,75,4311,1238,PEG,LIRZ,ITXX0136,4165
322,Philadelphia; PA,US,1,35,215,3995,-7516,PHL,KPHL,USPA1276,276
323,Phnom Penh,KH,1,205,23,1156,10492,PNH,VDPP,CBXX0001,2624
324,Phoenix; AZ,US,1,15,602,3344,-11207,PHX,KPHX,USAZ0166,277
325,Pisa,IT,1,110,50,4371,1041,PSA,LIRP,ITXX0059,4572
326,Pittsburgh; PA,US,1,35,412,4044,-8000,PIT,KPIT,USPA1290,476
327,Plymouth,UK,1,85,1752,5037,-414,PLH,EGDB,UKXX0112,13
328,Port Louis,MU,1,165,,-2017,5750,MRU,FIMP,MPXX0005,1525
329,Port Moresby,PG,1,275,,-948,14719,POM,AYPY,PPXX0004,3088
330,Port-au-Prince,HT,1,1003,,1853,-7233,PAP,MTPP,HAXX0004,6473
331,Portland; OR,US,1,4,503,4552,-12267,PDX,KPDX,USOR0275,278
332,Porto,PT,1,85,2,4116,-861,OPO,LPPR,POXX0022,201
333,Porto Alegre,BR,1,65,51,-3004,-5122,POA,SBPA,BRXX0186,7222
