112,Cork,IE,85,21,5190,-846,ORK,EICK,Europe/Dublin
113,Corpus Christi; TX,US,20,512,2780,-9739,CRP,KCRP,America/Chicago
114,Curitiba,BR,65,41,-2543,-4928,CWB,SBCT,America/Sao_Paulo
115,Dakar,SN,90,,1467,-1744,DKR,GOOY,Africa/Dakar
116,Dallas; TX,US,20,214,3279,-9677,DFW,KDFW,America/Chicago
117,Damascus,SY,1007,11,3351,3630,DAM,OSDI,Asia/Damascus
118,Dar es Salaam,TZ,155,51,-682,3928,DAR,HTDA,Africa/Dar_es_Salaam
119,Darwin; NT,AU,245,89,-1243,13085,DRW,YPDN,Australia/Darwin
120,Dayton; OH,US,35,513,3974,-8417,DAY,KDAY,America/New_York
121,Delhi,IN,190,11,2873,7746,DEL,VIDP,Asia/Kolkata
122,Denver; CO,US,10,303,3976,-10499,DEN,KDEN,America/Denver
123,Des Moines; IA,US,20,515,4160,-9360,DSM,KDSM,America/Chicago
124,Detroit; MI,US,35,313,4234,-8304,DTW,KDTW,America/Detroit
125,Dhaka,BD,1001,2,2371,9041,DAC,VGZR,Asia/Dhaka
126,Dijon,FR,105,3,4732,504,DIJ,LFSD,Europe/Paris
127,Djibouti,DJ,155,,1159,4315,JIB,HDAM,Africa/Djibouti
128,Doha,QA,150,,2530,5151,DOH,OTBD,Asia/Qatar
129,Dortmund,DE,110,231,5150,750,DTM,EDLW,Europe/Berlin
130,Dresden,DE,110,351,5106,1373,DRS,EDDC,Europe/Berlin
131,Dublin,IE,85,1,5335,-624,DUB,EIDW,Europe/Dublin
132,Dushanbe,TJ,185,3772,3857,6878,DYU,UTDD,Asia/Dushanbe
133,Dusseldorf,DE,110,211,5120,673,DUS,EDDL,Europe/Berlin
134,Edinburgh,UK,85,131,5594,-320,EDI,EGPH,Europe/London
135,Edmonton; AB,CA,10,403,5355,-11350,YEG,CYEG,America/Edmonton
136,El Paso; TX,US,10,915,3175,-10648,ELP,KELP,America/Denver
137,Erfurt,DE,110,361,5099,1103,ERF,EDDE,Europe/Berlin
138,Eugene; OR,US,4,541,4407,-12307,EUG,KEUG,America/Los_Angeles
139,Evansville; IN,US,20,812,3797,-8755,EVV,KEVV,America/Chicago
140,Florence,IT,110,55,4377,1125,FLR,LIRQ,Europe/Rome
141,Fort Defiance; AZ,US,15,520,3590,-10916,,KGUP,America/Denver
142,Fort Lauderdale; FL,US,35,954,2612,-8014,FLL,KFLL,America/New_York
143,Fort Wayne; IN,US,35,219,4113,-8512,FWA,KFWA,America/Indiana/Indianapolis
144,Fort Worth; TX,US,20,817,3272,-9732,DFW,KDFW,America/Chicago
145,Fortaleza,BR,65,85,-374,-3852,FOR,SBFZ,America/Fortaleza
146,Frankfurt,DE,110,69,5010,866,FRA,EDDF,Europe/Berlin
147,Freetown,SL,90,22,848,-1323,FNA,GFLL,Africa/Freetown
148,Freiburg,DE,110,761,4799,785,QFB,EDTL,Europe/Berlin
149,Fremont; CA,US,4,510,3756,-12200,OAK,KOAK,America/Los_Angeles
150,Fresno; CA,US,4,209,3674,-11977,FAT,KFAT,America/Los_Angeles
151,Fukuoka,JP,235,92,3356,13040,FUK,RJFF,Asia/Tokyo
152,Gaborone,BW,140,,-2465,2591,GBE,FBSK,Africa/Gaborone
153,Galway,IE,85,91,5327,-905,GWY,EIKN,Europe/Dublin
154,Geneva,CH,110,22,4614,604,GVA,LSGG,Europe/Zurich
155,Genova,IT,110,10,4442,893,GOA,LIMJ,Europe/Rome
156,George Town,KY,45,345,1933,-8140,CYB,MWCR,America/Cayman
157,Georgetown,GY,55,2,680,-5815,GEO,SYCJ,America/Guyana
158,Glasgow,UK,85,141,5584,-424,GLA,EGPF,Europe/London
159,Glendale; CA,US,4,818,3414,-11825,JGX,KBUR,Glendale; CA
160,Granada,ES,105,958,3718,-360,GRX,LEGR,Europe/Madrid
161,Grand Rapids; MI,US,35,616,4295,-8568,GRR,KGRR,America/Detroit
162,Guadalajara,MX,-2147483581,3,2066,-10333,GDL,MMGL,America/Mexico_City
163,Guangzhou,CN,210,20,2312,11323,CAN,ZGGG,Asia/Shanghai
164,Guatemala City,GT,33,2,1461,-9055,GUA,MGGT,America/Guatemala
165,Haikou,CN,210,898,2004,11034,HAK,ZJSY,Asia/Shanghai
166,Halifax; NS,CA,50,902,4440,-6334,YHZ,CYHZ,America/Halifax
167,Hamburg,DE,110,40,5356,1001,HAM,EDDH,Europe/Berlin
168,Hamilton,BM,50,441,3229,-6477,BDA,TXKF,Atlantic/Bermuda
169,Hannover,DE,110,511,5239,975,HAJ,EDDV,Europe/Berlin
170,Hanoi,VN,205,4,2102,10585,HAN,VVNB,Asia/Ho_Chi_Minh
171,Harare,ZW,140,4,-1782,3105,HRE,FVHA,Africa/Harare
